STULS,ESCS,DISCLIMA,TEACHSUP,DIRINS,PERFEED,EMOSUPS,STIMREAD,ADAPTIVITY,TEACHINT,PERCOMP,PERCOOP,ATTLNACT,COMPETE,WORKMAST,GFOFAIL,EUDMO,SWBP,RESILIENCE,MASTGOAL,BELONG,BEINGBULLIED,gender,TEACHBEHA,SBHL,PV1READ
2,0.506,2.0345,-0.2533,-0.7874,0.1707,-0.6576,0.1183,-0.1716,-0.5905,-0.1532,-1.7176,1.0844,1.1811,-0.6545,0.052,-1.2631,-1.1176,-0.4957,1.2329,-0.5665,-0.7823,1,0.7512,1,1
9,1.3012,-0.0424,1.314,-0.0424,0.7743,1.0346,0.7551,0.1888,-0.3689,0.8147,-0.9391,-0.6583,0.7871,0.6291,0.8207,-0.9827,-0.5928,-0.0614,-0.5589,-0.3102,-0.7823,2,0.2688,1,1
6,1.1928,0.6019,-0.6262,0.373,0.9044,-0.6576,0.2432,-0.1716,0.1744,-0.6142,-0.5107,1.0844,1.1811,0.5693,0.4637,-0.569,1.2386,-0.8277,-0.7453,0.1891,1.4721,2,0.9355,1.3333334,1
7,1.3715,2.0345,1.314,1.8202,2.0165,1.0346,2.0871,2.0073,1.8245,-0.3035,1.6762,-2.5375,0.1244,1.8164,-1.8939,-0.0794,1.2386,2.3693,1.4751,2.7249,-0.7823,2,0.2785,1,1
10,0.9282,2.0345,1.314,1.0055,0.7743,1.0346,2.0871,2.0073,1.8245,0.6912,1.6762,1.0844,1.2643,1.8164,-0.1748,1.7411,1.2386,1.1262,0.7603,0.6818,-0.7823,1,-0.5079,1.3333334,1
9,1.4555,1.3671,0.7015,1.8202,2.0165,0.6364,2.0871,2.0073,1.8245,1.2186,0.6012,1.0844,2.0054,0.5693,0.052,1.7411,0.5012,-0.0328,-0.1923,-0.4121,-0.7823,1,3.7879,1,1
6,0.8549,2.0345,0.7015,0.0544,0.7743,1.0346,2.0871,0.4572,0.6797,-1.36,0.6012,1.0844,0.1956,0.0273,0.4637,-0.9827,-0.5928,-0.8277,1.4751,-0.3138,0.2907,1,-0.7733,1.6666666,1
1,1.0323,0.7843,1.314,1.8202,0.7743,1.0346,2.0871,2.0073,1.8245,1.2186,1.6762,-0.6278,-2.345,-2.7365,1.8905,-0.92,1.2386,-1.535,-1.4455,-0.3284,1.2618,1,-2.0409,1,1
8,1.0716,1.4424,1.314,0.5467,2.0165,-0.6576,1.1506,0.1888,0.9684,-1.0299,1.0891,1.0844,1.2643,0.6291,-0.0288,-0.6723,1.2386,0.3858,0.3468,0.9683,-0.7823,1,0.7512,1,1
8,0.4746,2.0345,1.314,-0.0424,2.0165,-0.6576,2.0871,2.0073,1.8245,-0.6142,0.6012,1.0844,0.1956,-0.1015,-0.4342,0.2621,0.7301,-0.0614,-0.6331,-0.3184,-0.7823,2,0.6015,1,1
8,-0.0856,2.0345,1.314,1.8202,2.0165,1.0346,2.0871,2.0073,1.8245,0.6912,0.6012,0.4667,-0.2047,1.1448,0.3335,0.2621,0.1869,1.217,1.4751,-0.0553,-0.7823,2,0.6015,1,1
3,0.9363,1.0573,-0.0348,-0.2546,-0.99,-1.3914,2.0871,0.4572,1.8245,-0.6142,0.6012,0.4667,1.1811,0.5693,-1.0109,-0.9827,-0.5928,-0.0614,-0.2151,-0.4415,-0.7823,1,3.7879,1,1
